i,j,k,I_scaled
0,1,2,-251
0,1,3,-229
0,1,4,-221
0,1,5,-185
0,1,6,-222
0,1,7,-90
0,1,8,-250
0,1,9,-234
0,1,10,-165
0,1,11,-213
0,1,12,-125
0,1,13,-212
0,1,14,-163
0,1,15,-162
0,1,16,-231
0,1,17,-243
0,1,18,-112
0,1,19,-212
0,2,3,-234
0,2,4,-214
0,2,5,-207
0,2,6,-234
0,2,7,-111
0,2,8,-216
0,2,9,-266
0,2,10,-176
0,2,11,-243
0,2,12,-188
0,2,13,-236
0,2,14,-187
0,2,15,-148
0,2,16,-263
0,2,17,-247
0,2,18,-106
0,2,19,-238
0,3,4,-200
0,3,5,-150
0,3,6,-200
0,3,7,-131
0,3,8,-203
0,3,9,-221
0,3,10,-210
0,3,11,-210
0,3,12,-139
0,3,13,-272
0,3,14,-194
0,3,15,-142
0,3,16,-191
0,3,17,-223
0,3,18,-143
0,3,19,-206
0,4,5,-184
0,4,6,-217
0,4,7,-96
0,4,8,-199
0,4,9,-250
0,4,10,-143
0,4,11,-205
0,4,12,-136
0,4,13,-218
0,4,14,-192
0,4,15,-166
0,4,16,-202
0,4,17,-242
0,4,18,-104
0,4,19,-223
0,5,6,-190
0,5,7,-69
0,5,8,-134
0,5,9,-118
0,5,10,-96
0,5,11,-105
0,5,12,-94
0,5,13,-203
0,5,14,-112
0,5,15,-73
0,5,16,-193
0,5,17,-153
0,5,18,-26
0,5,19,-126
0,6,7,-161
0,6,8,-231
0,6,9,-248
0,6,10,-135
0,6,11,-213
0,6,12,-177
0,6,13,-220
0,6,14,-199
0,6,15,-189
0,6,16,-226
0,6,17,-257
0,6,18,-147
0,6,19,-233
0,7,8,-82
0,7,9,-97
0,7,10,-82
0,7,11,-92
0,7,12,-43
0,7,13,-111
0,7,14,-99
0,7,15,-25
0,7,16,-59
0,7,17,-107
0,7,18,-24
0,7,19,-79
0,8,9,-242
0,8,10,-141
0,8,11,-220
0,8,12,-146
0,8,13,-265
0,8,14,-238
0,8,15,-206
0,8,16,-221
0,8,17,-256
0,8,18,-118
0,8,19,-239
0,9,10,-181
0,9,11,-231
0,9,12,-130
0,9,13,-282
0,9,14,-181
0,9,15,-181
0,9,16,-259
0,9,17,-260
0,9,18,-118
0,9,19,-237
0,10,11,-147
0,10,12,-99
0,10,13,-154
0,10,14,-118
0,10,15,-73
0,10,16,-166
0,10,17,-170
0,10,18,-59
0,10,19,-219
0,11,12,-89
0,11,13,-262
0,11,14,-203
0,11,15,-159
0,11,16,-204
0,11,17,-255
0,11,18,-96
0,11,19,-205
0,12,13,-139
0,12,14,-98
0,12,15,-24
0,12,16,-123
0,12,17,-168
0,12,18,-99
0,12,19,-132
0,13,14,-205
0,13,15,-159
0,13,16,-227
0,13,17,-220
0,13,18,-97
0,13,19,-222
0,14,15,-149
0,14,16,-219
0,14,17,-198
0,14,18,-107
0,14,19,-212
0,15,16,-160
0,15,17,-167
0,15,18,-101
0,15,19,-180
0,16,17,-214
0,16,18,-134
0,16,19,-221
0,17,18,-96
0,17,19,-222
0,18,19,-179
1,2,3,-260
1,2,4,-226
1,2,5,-256
1,2,6,-237
1,2,7,-119
1,2,8,-252
1,2,9,-271
1,2,10,-117
1,2,11,-250
1,2,12,-105
1,2,13,-250
1,2,14,-128
1,2,15,-129
1,2,16,-242
1,2,17,-254
1,2,18,-115
1,2,19,-240
1,3,4,-238
1,3,5,-233
1,3,6,-248
1,3,7,-150
1,3,8,-252
1,3,9,-206
1,3,10,-229
1,3,11,-253
1,3,12,-99
1,3,13,-241
1,3,14,-175
1,3,15,-129
1,3,16,-207
1,3,17,-230
1,3,18,-144
1,3,19,-229
1,4,5,-244
1,4,6,-241
1,4,7,-74
1,4,8,-239
1,4,9,-289
1,4,10,-97
1,4,11,-216
1,4,12,-87
1,4,13,-251
1,4,14,-93
1,4,15,-114
1,4,16,-226
1,4,17,-224
1,4,18,-91
1,4,19,-197
1,5,6,-207
1,5,7,-124
1,5,8,-197
1,5,9,-137
1,5,10,-115
1,5,11,-178
1,5,12,-98
1,5,13,-224
1,5,14,-85
1,5,15,-118
1,5,16,-214
1,5,17,-187
1,5,18,-73
1,5,19,-142
1,6,7,-143
1,6,8,-252
1,6,9,-196
1,6,10,-89
1,6,11,-242
1,6,12,-149
1,6,13,-220
1,6,14,-178
1,6,15,-178
1,6,16,-234
1,6,17,-231
1,6,18,-171
1,6,19,-241
1,7,8,-88
1,7,9,-82
1,7,10,-63
1,7,11,-127
1,7,12,-16
1,7,13,-106
1,7,14,-64
1,7,15,31
1,7,16,-87
1,7,17,-97
1,7,18,-48
1,7,19,-69
1,8,9,-277
1,8,10,-111
1,8,11,-253
1,8,12,-90
1,8,13,-265
1,8,14,-186
1,8,15,-137
1,8,16,-240
1,8,17,-238
1,8,18,-114
1,8,19,-238
1,9,10,-86
1,9,11,-237
1,9,12,-71
1,9,13,-273
1,9,14,-91
1,9,15,-100
1,9,16,-215
1,9,17,-258
1,9,18,-125
1,9,19,-182
1,10,11,-116
1,10,12,-23
1,10,13,-86
1,10,14,-38
1,10,15,14
1,10,16,-86
1,10,17,-105
1,10,18,-32
1,10,19,-137
1,11,12,-92
1,11,13,-268
1,11,14,-170
1,11,15,-119
1,11,16,-226
1,11,17,-237
1,11,18,-125
1,11,19,-217
1,12,13,-103
1,12,14,-18
1,12,15,53
1,12,16,-63
1,12,17,-101
1,12,18,-15
1,12,19,-75
1,13,14,-135
1,13,15,-106
1,13,16,-228
1,13,17,-230
1,13,18,-73
1,13,19,-240
1,14,15,-62
1,14,16,-166
1,14,17,-146
1,14,18,-36
1,14,19,-141
1,15,16,-140
1,15,17,-105
1,15,18,-63
1,15,19,-93
1,16,17,-188
1,16,18,-167
1,16,19,-228
1,17,18,-99
1,17,19,-204
1,18,19,-176
2,3,4,-234
2,3,5,-210
2,3,6,-220
2,3,7,-151
2,3,8,-249
2,3,9,-233
2,3,10,-164
2,3,11,-241
2,3,12,-119
2,3,13,-230
2,3,14,-183
2,3,15,-98
2,3,16,-235
2,3,17,-237
2,3,18,-157
2,3,19,-236
2,4,5,-211
2,4,6,-222
2,4,7,-96
2,4,8,-228
2,4,9,-257
2,4,10,-92
2,4,11,-253
2,4,12,-93
2,4,13,-217
2,4,14,-103
2,4,15,-75
2,4,16,-237
2,4,17,-266
2,4,18,-85
2,4,19,-221
2,5,6,-250
2,5,7,-60
2,5,8,-202
2,5,9,-190
2,5,10,-137
2,5,11,-200
2,5,12,-97
2,5,13,-285
2,5,14,-106
2,5,15,-119
2,5,16,-238
2,5,17,-187
2,5,18,-58
2,5,19,-153
2,6,7,-158
2,6,8,-220
2,6,9,-220
2,6,10,-98
2,6,11,-224
2,6,12,-165
2,6,13,-249
2,6,14,-157
2,6,15,-164
2,6,16,-219
2,6,17,-212
2,6,18,-159
2,6,19,-248
2,7,8,-101
2,7,9,-109
2,7,10,-48
2,7,11,-110
2,7,12,-12
2,7,13,-151
2,7,14,-46
2,7,15,40
2,7,16,-94
2,7,17,-125
2,7,18,-59
2,7,19,-91
2,8,9,-250
2,8,10,-92
2,8,11,-296
2,8,12,-120
2,8,13,-222
2,8,14,-194
2,8,15,-81
2,8,16,-227
2,8,17,-230
2,8,18,-101
2,8,19,-184
2,9,10,-76
2,9,11,-246
2,9,12,-97
2,9,13,-271
2,9,14,-120
2,9,15,-83
2,9,16,-223
2,9,17,-283
2,9,18,-88
2,9,19,-217
2,10,11,-104
2,10,12,14
2,10,13,-105
2,10,14,-25
2,10,15,42
2,10,16,-107
2,10,17,-109
2,10,18,-27
2,10,19,-96
2,11,12,-103
2,11,13,-240
2,11,14,-164
2,11,15,-102
2,11,16,-256
2,11,17,-270
2,11,18,-127
2,11,19,-210
2,12,13,-119
2,12,14,-33
2,12,15,48
2,12,16,-85
2,12,17,-110
2,12,18,-26
2,12,19,-94
2,13,14,-170
2,13,15,-103
2,13,16,-215
2,13,17,-194
2,13,18,-100
2,13,19,-237
2,14,15,-67
2,14,16,-177
2,14,17,-160
2,14,18,-43
2,14,19,-178
2,15,16,-134
2,15,17,-126
2,15,18,-37
2,15,19,-78
2,16,17,-240
2,16,18,-186
2,16,19,-207
2,17,18,-79
2,17,19,-257
2,18,19,-141
3,4,5,-206
3,4,6,-222
3,4,7,-152
3,4,8,-254
3,4,9,-252
3,4,10,-119
3,4,11,-217
3,4,12,-98
3,4,13,-215
3,4,14,-171
3,4,15,-73
3,4,16,-199
3,4,17,-233
3,4,18,-137
3,4,19,-203
3,5,6,-213
3,5,7,-133
3,5,8,-185
3,5,9,-168
3,5,10,-154
3,5,11,-168
3,5,12,-61
3,5,13,-240
3,5,14,-167
3,5,15,-107
3,5,16,-197
3,5,17,-171
3,5,18,-144
3,5,19,-169
3,6,7,-174
3,6,8,-236
3,6,9,-230
3,6,10,-119
3,6,11,-234
3,6,12,-158
3,6,13,-233
3,6,14,-205
3,6,15,-128
3,6,16,-195
3,6,17,-235
3,6,18,-185
3,6,19,-243
3,7,8,-135
3,7,9,-142
3,7,10,-109
3,7,11,-161
3,7,12,-66
3,7,13,-157
3,7,14,-136
3,7,15,-23
3,7,16,-137
3,7,17,-150
3,7,18,-106
