i,j,k,I_scaled
0,1,2,-154
0,1,3,-132
0,1,4,-19
0,1,5,-11
0,1,6,-24
0,1,7,-29
0,1,8,-6
0,1,9,-131
0,1,10,-59
0,1,11,48
0,1,12,-185
0,1,13,-6
0,1,14,-31
0,1,15,-4
0,1,16,-153
0,1,17,-45
0,1,18,-9
0,1,19,-12
0,2,3,-266
0,2,4,-117
0,2,5,-129
0,2,6,-115
0,2,7,-93
0,2,8,-85
0,2,9,-226
0,2,10,-174
0,2,11,-88
0,2,12,-201
0,2,13,-141
0,2,14,-144
0,2,15,-54
0,2,16,-218
0,2,17,-154
0,2,18,-125
0,2,19,-185
0,3,4,-86
0,3,5,-130
0,3,6,-67
0,3,7,-89
0,3,8,-132
0,3,9,-217
0,3,10,-147
0,3,11,-95
0,3,12,-181
0,3,13,-91
0,3,14,-98
0,3,15,-46
0,3,16,-253
0,3,17,-146
0,3,18,-132
0,3,19,-154
0,4,5,46
0,4,6,-19
0,4,7,-23
0,4,8,45
0,4,9,-46
0,4,10,-14
0,4,11,56
0,4,12,-113
0,4,13,-3
0,4,14,1
0,4,15,19
0,4,16,-145
0,4,17,-7
0,4,18,-10
0,4,19,-62
0,5,6,10
0,5,7,-5
0,5,8,2
0,5,9,-84
0,5,10,22
0,5,11,49
0,5,12,-114
0,5,13,15
0,5,14,81
0,5,15,85
0,5,16,-75
0,5,17,-9
0,5,18,77
0,5,19,-23
0,6,7,-30
0,6,8,-3
0,6,9,-125
0,6,10,-48
0,6,11,62
0,6,12,-128
0,6,13,-1
0,6,14,65
0,6,15,-5
0,6,16,-99
0,6,17,-9
0,6,18,52
0,6,19,-24
0,7,8,-20
0,7,9,-61
0,7,10,-7
0,7,11,-12
0,7,12,-102
0,7,13,-15
0,7,14,-15
0,7,15,9
0,7,16,-143
0,7,17,-8
0,7,18,-33
0,7,19,-16
0,8,9,-52
0,8,10,-50
0,8,11,-47
0,8,12,-122
0,8,13,-22
0,8,14,-15
0,8,15,22
0,8,16,-129
0,8,17,42
0,8,18,49
0,8,19,-2
0,9,10,-141
0,9,11,-62
0,9,12,-231
0,9,13,-68
0,9,14,-57
0,9,15,-105
0,9,16,-242
0,9,17,-26
0,9,18,-127
0,9,19,-152
0,10,11,-28
0,10,12,-144
0,10,13,-30
0,10,14,-18
0,10,15,20
0,10,16,-182
0,10,17,-31
0,10,18,-1
0,10,19,-71
0,11,12,-122
0,11,13,13
0,11,14,82
0,11,15,48
0,11,16,-107
0,11,17,9
0,11,18,9
0,11,19,-19
0,12,13,-101
0,12,14,-63
0,12,15,-29
0,12,16,-200
0,12,17,-38
0,12,18,-116
0,12,19,-92
0,13,14,14
0,13,15,29
0,13,16,-127
0,13,17,-50
0,13,18,-8
0,13,19,-13
0,14,15,79
0,14,16,-70
0,14,17,8
0,14,18,65
0,14,19,14
0,15,16,-161
0,15,17,19
0,15,18,49
0,15,19,-7
0,16,17,-145
0,16,18,-94
0,16,19,-162
0,17,18,-9
0,17,19,-41
0,18,19,-56
1,2,3,-252
1,2,4,-103
1,2,5,-124
1,2,6,-126
1,2,7,-145
1,2,8,-83
1,2,9,-178
1,2,10,-194
1,2,11,-51
1,2,12,-248
1,2,13,-143
1,2,14,-178
1,2,15,-56
1,2,16,-209
1,2,17,-165
1,2,18,-100
1,2,19,-179
1,3,4,-84
1,3,5,-112
1,3,6,-109
1,3,7,-120
1,3,8,-115
1,3,9,-184
1,3,10,-162
1,3,11,-48
1,3,12,-210
1,3,13,-51
1,3,14,-109
1,3,15,-70
1,3,16,-248
1,3,17,-151
1,3,18,-109
1,3,19,-175
1,4,5,114
1,4,6,0
1,4,7,-35
1,4,8,56
1,4,9,-36
1,4,10,-24
1,4,11,131
1,4,12,-138
1,4,13,20
1,4,14,-18
1,4,15,1
1,4,16,-147
1,4,17,-28
1,4,18,0
1,4,19,-66
1,5,6,2
1,5,7,5
1,5,8,19
1,5,9,-47
1,5,10,15
1,5,11,160
1,5,12,-122
1,5,13,41
1,5,14,78
1,5,15,111
1,5,16,-61
1,5,17,3
1,5,18,94
1,5,19,-29
1,6,7,-24
1,6,8,-2
1,6,9,-130
1,6,10,-48
1,6,11,88
1,6,12,-179
1,6,13,3
1,6,14,18
1,6,15,-5
1,6,16,-124
1,6,17,-51
1,6,18,48
1,6,19,-60
1,7,8,-62
1,7,9,-55
1,7,10,-40
1,7,11,29
1,7,12,-136
1,7,13,-22
1,7,14,-52
1,7,15,-6
1,7,16,-159
1,7,17,-45
1,7,18,-30
1,7,19,-62
1,8,9,-6
1,8,10,-82
1,8,11,48
1,8,12,-145
1,8,13,15
1,8,14,-7
1,8,15,11
1,8,16,-157
1,8,17,45
1,8,18,63
1,8,19,-25
1,9,10,-106
1,9,11,4
1,9,12,-200
