i,j,k,I_scaled
0,1,2,-136
0,1,3,25
0,1,4,12
0,1,5,-105
0,1,6,74
0,1,7,-35
0,1,8,19
0,1,9,23
0,1,10,-47
0,1,11,-7
0,1,12,-6
0,1,13,-51
0,1,14,15
0,1,15,-116
0,1,16,4
0,1,17,83
0,1,18,-55
0,1,19,-31
0,2,3,-81
0,2,4,-190
0,2,5,-192
0,2,6,-18
0,2,7,-142
0,2,8,-71
0,2,9,-63
0,2,10,-163
0,2,11,-101
0,2,12,-141
0,2,13,-167
0,2,14,-130
0,2,15,-167
0,2,16,-70
0,2,17,-21
0,2,18,-143
0,2,19,-54
0,3,4,-1
0,3,5,-147
0,3,6,74
0,3,7,-15
0,3,8,2
0,3,9,-30
0,3,10,-23
0,3,11,5
0,3,12,-8
0,3,13,-49
0,3,14,-48
0,3,15,-65
0,3,16,0
0,3,17,53
0,3,18,-92
0,3,19,-11
0,4,5,-138
0,4,6,57
0,4,7,-132
0,4,8,-77
0,4,9,-78
0,4,10,-105
0,4,11,-47
0,4,12,-105
0,4,13,-88
0,4,14,-125
0,4,15,-105
0,4,16,-53
0,4,17,-48
0,4,18,-155
0,4,19,-93
0,5,6,-84
0,5,7,-129
0,5,8,-120
0,5,9,-155
0,5,10,-141
0,5,11,-74
0,5,12,-167
0,5,13,-163
0,5,14,-193
0,5,15,-174
0,5,16,-65
0,5,17,-92
0,5,18,-134
0,5,19,-156
0,6,7,37
0,6,8,27
0,6,9,12
0,6,10,44
0,6,11,48
0,6,12,35
0,6,13,89
0,6,14,14
0,6,15,34
0,6,16,68
0,6,17,89
0,6,18,36
0,6,19,49
0,7,8,-63
0,7,9,-37
0,7,10,-62
0,7,11,-93
0,7,12,-107
0,7,13,-143
0,7,14,-100
0,7,15,-88
0,7,16,-59
0,7,17,-22
0,7,18,-86
0,7,19,-71
0,8,9,-10
0,8,10,-12
0,8,11,-18
0,8,12,-24
0,8,13,-81
0,8,14,-75
0,8,15,-79
0,8,16,18
0,8,17,45
0,8,18,-103
0,8,19,-44
0,9,10,-99
0,9,11,-13
0,9,12,-10
0,9,13,-58
0,9,14,-88
0,9,15,-83
0,9,16,32
0,9,17,64
0,9,18,-74
0,9,19,-41
0,10,11,-43
0,10,12,-83
0,10,13,-80
0,10,14,-103
0,10,15,-90
0,10,16,-18
0,10,17,-8
0,10,18,-40
0,10,19,-26
0,11,12,14
0,11,13,-45
0,11,14,-49
0,11,15,-46
0,11,16,-46
0,11,17,67
0,11,18,-75
0,11,19,-33
0,12,13,-96
0,12,14,-118
0,12,15,-97
0,12,16,-3
0,12,17,28
0,12,18,-103
0,12,19,-55
0,13,14,-131
0,13,15,-80
0,13,16,-42
0,13,17,-11
0,13,18,-102
0,13,19,-25
0,14,15,-116
0,14,16,-41
0,14,17,53
0,14,18,-82
0,14,19,-16
0,15,16,-34
0,15,17,-22
0,15,18,-77
0,15,19,-58
0,16,17,48
0,16,18,-40
0,16,19,-16
0,17,18,32
0,17,19,12
0,18,19,-113
1,2,3,-57
1,2,4,-222
1,2,5,-229
1,2,6,-119
1,2,7,-234
1,2,8,-47
1,2,9,-39
1,2,10,-237
1,2,11,-107
1,2,12,-198
1,2,13,-217
1,2,14,-142
1,2,15,-261
1,2,16,-106
1,2,17,-58
1,2,18,-232
1,2,19,-98
1,3,4,12
1,3,5,-104
1,3,6,8
1,3,7,-111
1,3,8,-7
1,3,9,6
1,3,10,-120
1,3,11,-7
1,3,12,46
1,3,13,-116
1,3,14,-42
1,3,15,-143
1,3,16,-1
1,3,17,41
1,3,18,-117
1,3,19,-9
1,4,5,-141
1,4,6,-19
1,4,7,-180
1,4,8,-52
1,4,9,-17
1,4,10,-178
1,4,11,-37
1,4,12,-69
1,4,13,-151
1,4,14,-80
1,4,15,-158
1,4,16,-62
1,4,17,-68
1,4,18,-172
1,4,19,-110
1,5,6,-135
1,5,7,-172
1,5,8,-119
1,5,9,-123
1,5,10,-221
1,5,11,-58
1,5,12,-115
1,5,13,-168
1,5,14,-179
1,5,15,-198
1,5,16,-41
1,5,17,-88
1,5,18,-196
1,5,19,-116
1,6,7,-105
1,6,8,-10
1,6,9,-8
1,6,10,-91
1,6,11,-9
1,6,12,-12
1,6,13,-103
1,6,14,-15
1,6,15,-71
1,6,16,-11
1,6,17,6
1,6,18,-67
1,6,19,-29
1,7,8,-135
1,7,9,-69
1,7,10,-196
1,7,11,-153
1,7,12,-123
1,7,13,-263
1,7,14,-151
1,7,15,-214
1,7,16,-140
1,7,17,-140
1,7,18,-242
1,7,19,-135
1,8,9,24
1,8,10,-118
1,8,11,-5
1,8,12,8
1,8,13,-133
1,8,14,-42
1,8,15,-127
1,8,16,3
1,8,17,3
1,8,18,-123
1,8,19,-43
1,9,10,-114
1,9,11,18
1,9,12,57
1,9,13,-125
1,9,14,-35
1,9,15,-91
1,9,16,108
1,9,17,50
1,9,18,-113
1,9,19,8
1,10,11,-93
1,10,12,-111
1,10,13,-213
1,10,14,-152
1,10,15,-234
1,10,16,-80
1,10,17,-103
1,10,18,-218
1,10,19,-79
1,11,12,44
1,11,13,-100
1,11,14,-16
1,11,15,-118
1,11,16,-20
1,11,17,7
1,11,18,-113
1,11,19,-16
1,12,13,-158
1,12,14,-45
1,12,15,-133
1,12,16,-16
1,12,17,33
1,12,18,-155
1,12,19,-45
1,13,14,-141
1,13,15,-273
1,13,16,-117
1,13,17,-109
1,13,18,-204
1,13,19,-108
1,14,15,-130
1,14,16,-22
1,14,17,23
1,14,18,-144
1,14,19,-48
1,15,16,-67
1,15,17,-96
1,15,18,-213
1,15,19,-148
1,16,17,4
1,16,18,-96
1,16,19,-38
1,17,18,-48
1,17,19,-22
1,18,19,-181
2,3,4,-120
2,3,5,-152
2,3,6,12
2,3,7,-81
2,3,8,-12
2,3,9,-13
2,3,10,-121
2,3,11,31
2,3,12,-51
2,3,13,-126
2,3,14,-94
2,3,15,-206
2,3,16,-38
2,3,17,48
2,3,18,-138
2,3,19,-33
2,4,5,-276
2,4,6,-151
2,4,7,-296
2,4,8,-211
2,4,9,-204
2,4,10,-307
2,4,11,-162
2,4,12,-326
2,4,13,-294
2,4,14,-317
2,4,15,-306
2,4,16,-175
2,4,17,-228
2,4,18,-365
2,4,19,-230
2,5,6,-178
2,5,7,-227
2,5,8,-161
2,5,9,-197
2,5,10,-250
2,5,11,-99
2,5,12,-215
2,5,13,-266
2,5,14,-236
2,5,15,-234
2,5,16,-107
2,5,17,-153
2,5,18,-236
2,5,19,-160
2,6,7,-60
2,6,8,-18
2,6,9,-14
2,6,10,-104
2,6,11,-31
2,6,12,-82
2,6,13,-93
2,6,14,-96
2,6,15,-101
2,6,16,-38
2,6,17,18
2,6,18,-100
2,6,19,-48
2,7,8,-158
2,7,9,-81
2,7,10,-220
2,7,11,-167
2,7,12,-225
2,7,13,-292
2,7,14,-218
2,7,15,-223
2,7,16,-180
2,7,17,-196
2,7,18,-236
2,7,19,-193
2,8,9,6
2,8,10,-91
2,8,11,-17
2,8,12,-116
2,8,13,-165
2,8,14,-149
2,8,15,-148
2,8,16,18
2,8,17,-40
2,8,18,-180
2,8,19,-31
2,9,10,-189
2,9,11,2
2,9,12,-87
2,9,13,-168
2,9,14,-130
2,9,15,-184
2,9,16,30
2,9,17,-20
2,9,18,-158
2,9,19,-60
2,10,11,-107
2,10,12,-194
2,10,13,-227
2,10,14,-252
2,10,15,-251
2,10,16,-108
2,10,17,-158
2,10,18,-215
2,10,19,-93
2,11,12,-46
2,11,13,-118
2,11,14,-97
2,11,15,-112
2,11,16,-43
2,11,17,-25
2,11,18,-161
2,11,19,-21
2,12,13,-243
2,12,14,-288
2,12,15,-240
2,12,16,-87
2,12,17,-122
2,12,18,-244
2,12,19,-117
2,13,14,-242
2,13,15,-227
2,13,16,-113
2,13,17,-167
2,13,18,-287
2,13,19,-107
2,14,15,-226
2,14,16,-90
2,14,17,-72
2,14,18,-236
2,14,19,-122
2,15,16,-96
2,15,17,-161
2,15,18,-209
2,15,19,-95
2,16,17,-52
2,16,18,-114
2,16,19,-29
2,17,18,-86
2,17,19,-36
2,18,19,-183
3,4,5,-167
3,4,6,-5
3,4,7,-125
3,4,8,-61
3,4,9,-48
3,4,10,-158
3,4,11,-19
3,4,12,-66
3,4,13,-131
3,4,14,-105
3,4,15,-189
3,4,16,-27
3,4,17,-39
3,4,18,-197
3,4,19,-83
3,5,6,-128
3,5,7,-150
3,5,8,-142
3,5,9,-144
3,5,10,-200
3,5,11,-52
3,5,12,-140
3,5,13,-181
3,5,14,-171
3,5,15,-201
3,5,16,-104
3,5,17,-95
3,5,18,-211
3,5,19,-120
3,6,7,-22
3,6,8,3
3,6,9,-50
3,6,10,-25
3,6,11,16
3,6,12,47
3,6,13,-23
3,6,14,-81
3,6,15,-52
3,6,16,-4
3,6,17,9
3,6,18,-63
3,6,19,-14
3,7,8,-85
3,7,9,-20
3,7,10,-104
3,7,11,-62
3,7,12,-67
3,7,13,-226
3,7,14,-104
3,7,15,-170
3,7,16,-78
3,7,17,-48
3,7,18,-174
3,7,19,-78
3,8,9,-6
3,8,10,-45
3,8,11,24
3,8,12,66
3,8,13,-107
3,8,14,-50
3,8,15,-128
3,8,16,26
3,8,17,13
3,8,18,-122
3,8,19,-3
3,9,10,-112
3,9,11,25
3,9,12,11
3,9,13,-151
3,9,14,-68
3,9,15,-121
3,9,16,92
3,9,17,18
3,9,18,-136
3,9,19,-68
3,10,11,-15
3,10,12,-92
3,10,13,-139
3,10,14,-163
3,10,15,-227
3,10,16,-43
3,10,17,-58
3,10,18,-181
3,10,19,-60
3,11,12,81
3,11,13,-46
3,11,14,-18
3,11,15,-61
3,11,16,20
3,11,17,48
3,11,18,-137
3,11,19,18
3,12,13,-173
3,12,14,-110
3,12,15,-148
3,12,16,24
3,12,17,46
3,12,18,-165
3,12,19,-6
3,13,14,-156
3,13,15,-218
3,13,16,-63
3,13,17,-83
3,13,18,-211
3,13,19,-85
3,14,15,-169
3,14,16,-46
3,14,17,28
3,14,18,-169
3,14,19,-47
3,15,16,-83
3,15,17,-88
3,15,18,-198
3,15,19,-113
3,16,17,-4
3,16,18,-101
3,16,19,-15
3,17,18,-48
3,17,19,10
3,18,19,-147
4,5,6,-148
4,5,7,-249
4,5,8,-200
4,5,9,-224
4,5,10,-218
4,5,11,-94
4,5,12,-215
4,5,13,-259
4,5,14,-244
4,5,15,-225
4,5,16,-99
4,5,17,-165
4,5,18,-272
4,5,19,-223
4,6,7,-119
4,6,8,-66
4,6,9,-104
4,6,10,-78
4,6,11,-46
4,6,12,-96
4,6,13,-116
4,6,14,-77
4,6,15,-104
4,6,16,-1
4,6,17,-53
4,6,18,-141
4,6,19,-104
4,7,8,-232
4,7,9,-177
4,7,10,-246
4,7,11,-183
4,7,12,-244
4,7,13,-334
4,7,14,-228
4,7,15,-241
4,7,16,-164
4,7,17,-222
4,7,18,-311
4,7,19,-217
4,8,9,-107
4,8,10,-156
4,8,11,-52
4,8,12,-88
4,8,13,-235
4,8,14,-211
4,8,15,-246
4,8,16,-90
4,8,17,-136
4,8,18,-303
4,8,19,-139
4,9,10,-217
4,9,11,-77
4,9,12,-111
4,9,13,-204
4,9,14,-218
4,9,15,-188
4,9,16,-20
4,9,17,-108
4,9,18,-254
4,9,19,-139
4,10,11,-100
4,10,12,-216
4,10,13,-193
4,10,14,-207
4,10,15,-226
4,10,16,-85
4,10,17,-189
4,10,18,-250
4,10,19,-157
4,11,12,-62
4,11,13,-85
4,11,14,-89
4,11,15,-107
4,11,16,-34
4,11,17,-99
4,11,18,-230
4,11,19,-103
4,12,13,-197
4,12,14,-210
4,12,15,-244
4,12,16,-83
4,12,17,-160
4,12,18,-334
4,12,19,-180
4,13,14,-199
4,13,15,-207
4,13,16,-104
4,13,17,-186
4,13,18,-342
4,13,19,-139
4,14,15,-220
4,14,16,-94
4,14,17,-152
4,14,18,-286
4,14,19,-149
4,15,16,-108
4,15,17,-233
4,15,18,-255
4,15,19,-170
4,16,17,-87
4,16,18,-177
4,16,19,-115
4,17,18,-231
4,17,19,-169
4,18,19,-276
5,6,7,-162
5,6,8,-150
5,6,9,-143
5,6,10,-138
5,6,11,-76
5,6,12,-149
5,6,13,-124
5,6,14,-179
5,6,15,-163
5,6,16,-88
5,6,17,-123
5,6,18,-177
5,6,19,-146
5,7,8,-237
5,7,9,-190
5,7,10,-231
5,7,11,-169
5,7,12,-199
5,7,13,-309
5,7,14,-225
5,7,15,-216
5,7,16,-173
5,7,17,-203
5,7,18,-227
5,7,19,-224
5,8,9,-154
5,8,10,-137
5,8,11,-73
5,8,12,-128
5,8,13,-191
5,8,14,-231
5,8,15,-193
5,8,16,-57
5,8,17,-144
5,8,18,-237
5,8,19,-136
5,9,10,-230
5,9,11,-99
5,9,12,-187
5,9,13,-206
5,9,14,-231
5,9,15,-205
5,9,16,-60
5,9,17,-112
5,9,18,-225
5,9,19,-176
5,10,11,-94
5,10,12,-208
5,10,13,-224
5,10,14,-227
5,10,15,-216
5,10,16,-86
5,10,17,-143
5,10,18,-198
5,10,19,-164
5,11,12,-29
5,11,13,-113
5,11,14,-101
5,11,15,-93
5,11,16,-46
