i,j,k,I_scaled
0,1,2,-44
0,1,3,1
0,1,4,43
0,1,5,98
0,1,6,-8
0,1,7,-31
0,1,8,-105
0,1,9,-46
0,1,10,32
0,1,11,-3
0,1,12,14
0,1,13,-14
0,1,14,-17
0,1,15,-61
0,1,16,-41
0,1,17,38
0,1,18,-112
0,1,19,-3
0,2,3,-35
0,2,4,26
0,2,5,54
0,2,6,-2
0,2,7,-3
0,2,8,-65
0,2,9,-148
0,2,10,-120
0,2,11,17
0,2,12,-19
0,2,13,-22
0,2,14,-61
0,2,15,-92
0,2,16,-175
0,2,17,51
0,2,18,-125
0,2,19,-40
0,3,4,67
0,3,5,64
0,3,6,5
0,3,7,-19
0,3,8,-148
0,3,9,-34
0,3,10,-30
0,3,11,-12
0,3,12,-2
0,3,13,-65
0,3,14,-44
0,3,15,-48
0,3,16,-71
0,3,17,83
0,3,18,-131
0,3,19,-37
0,4,5,85
0,4,6,3
0,4,7,-39
0,4,8,-101
0,4,9,-58
0,4,10,-21
0,4,11,-18
0,4,12,43
0,4,13,-27
0,4,14,-43
0,4,15,-41
0,4,16,-36
0,4,17,52
0,4,18,-112
0,4,19,8
0,5,6,69
0,5,7,27
0,5,8,-29
0,5,9,48
0,5,10,34
0,5,11,124
0,5,12,82
0,5,13,23
0,5,14,16
0,5,15,37
0,5,16,-80
0,5,17,106
0,5,18,-16
0,5,19,36
0,6,7,-14
0,6,8,-43
0,6,9,-17
0,6,10,-35
0,6,11,6
0,6,12,-7
0,6,13,-9
0,6,14,-12
0,6,15,-23
0,6,16,-111
0,6,17,32
0,6,18,-119
0,6,19,-59
0,7,8,-90
0,7,9,-46
0,7,10,-26
0,7,11,-7
0,7,12,-11
0,7,13,-32
0,7,14,-22
0,7,15,-45
0,7,16,-105
0,7,17,44
0,7,18,-154
0,7,19,-3
0,8,9,-88
0,8,10,-104
0,8,11,-49
0,8,12,-124
0,8,13,-96
0,8,14,-89
0,8,15,-107
0,8,16,-204
0,8,17,-52
0,8,18,-128
0,8,19,-62
0,9,10,-79
0,9,11,-93
0,9,12,-26
0,9,13,-107
0,9,14,-106
0,9,15,-108
0,9,16,-154
0,9,17,9
0,9,18,-159
0,9,19,-42
0,10,11,10
0,10,12,-28
0,10,13,-19
0,10,14,-80
0,10,15,-119
0,10,16,-187
0,10,17,-10
0,10,18,-152
0,10,19,-31
0,11,12,11
0,11,13,-4
0,11,14,-75
0,11,15,-26
0,11,16,-123
0,11,17,59
0,11,18,-147
