step,layer,proj,A_l2,B_l2,A_max,B_max,A_nan,B_nan
1,0,q,0.000000e+00,7.285561e-02,0.000000e+00,6.970743e-03,0,0
1,0,k,0.000000e+00,6.223192e-02,0.000000e+00,1.213265e-02,0,0
1,0,v,0.000000e+00,4.314878e-01,0.000000e+00,5.438511e-02,0,0
1,0,o,0.000000e+00,4.232019e-01,0.000000e+00,2.206285e-02,0,0
1,1,q,0.000000e+00,3.973966e-03,0.000000e+00,5.636471e-04,0,0
1,1,k,0.000000e+00,4.629974e-03,0.000000e+00,5.400712e-04,0,0
1,1,v,0.000000e+00,2.365255e-01,0.000000e+00,8.081902e-02,0,0
1,1,o,0.000000e+00,7.578953e-02,0.000000e+00,1.820860e-02,0,0
1,2,q,0.000000e+00,2.517464e-02,0.000000e+00,5.003515e-03,0,0
1,2,k,0.000000e+00,2.109129e-02,0.000000e+00,6.059635e-03,0,0
1,2,v,0.000000e+00,2.161316e-01,0.000000e+00,2.789647e-02,0,0
1,2,o,0.000000e+00,1.308500e-01,0.000000e+00,7.576440e-03,0,0
1,3,q,0.000000e+00,3.183746e-02,0.000000e+00,3.788019e-03,0,0
1,3,k,0.000000e+00,4.065272e-02,0.000000e+00,1.169176e-02,0,0
1,3,v,0.000000e+00,2.337605e-01,0.000000e+00,1.550450e-02,0,0
1,3,o,0.000000e+00,1.455136e-01,0.000000e+00,6.416552e-03,0,0
1,4,q,0.000000e+00,4.600609e-02,0.000000e+00,3.151256e-03,0,0
1,4,k,0.000000e+00,3.900121e-02,0.000000e+00,8.817056e-03,0,0
1,4,v,0.000000e+00,2.163600e-01,0.000000e+00,1.485478e-02,0,0
1,4,o,0.000000e+00,1.916232e-01,0.000000e+00,9.093529e-03,0,0
1,5,q,0.000000e+00,1.117621e-01,0.000000e+00,1.267792e-02,0,0
1,5,k,0.000000e+00,9.309179e-02,0.000000e+00,2.764230e-02,0,0
1,5,v,0.000000e+00,1.804873e-01,0.000000e+00,1.335227e-02,0,0
1,5,o,0.000000e+00,1.680333e-01,0.000000e+00,1.323846e-02,0,0
1,6,q,0.000000e+00,1.430974e-01,0.000000e+00,4.089735e-02,0,0
1,6,k,0.000000e+00,1.271444e-01,0.000000e+00,4.478413e-02,0,0
1,6,v,0.000000e+00,2.608205e-01,0.000000e+00,3.329788e-02,0,0
1,6,o,0.000000e+00,9.276259e-02,0.000000e+00,4.807835e-03,0,0
1,7,q,0.000000e+00,8.433149e-02,0.000000e+00,1.157111e-02,0,0
1,7,k,0.000000e+00,1.080801e-01,0.000000e+00,2.655711e-02,0,0
1,7,v,0.000000e+00,1.984696e-01,0.000000e+00,1.530369e-02,0,0
1,7,o,0.000000e+00,9.497635e-02,0.000000e+00,5.791102e-03,0,0
1,8,q,0.000000e+00,1.568635e-01,0.000000e+00,5.144152e-02,0,0
1,8,k,0.000000e+00,1.422708e-01,0.000000e+00,3.588972e-02,0,0
1,8,v,0.000000e+00,2.321723e-01,0.000000e+00,2.632632e-02,0,0
1,8,o,0.000000e+00,9.112915e-02,0.000000e+00,3.480298e-03,0,0
1,9,q,0.000000e+00,1.165156e-01,0.000000e+00,3.343673e-02,0,0
1,9,k,0.000000e+00,9.988855e-02,0.000000e+00,1.829118e-02,0,0
1,9,v,0.000000e+00,1.434120e-01,0.000000e+00,1.147319e-02,0,0
1,9,o,0.000000e+00,1.038094e-01,0.000000e+00,4.451210e-03,0,0
1,10,q,0.000000e+00,1.450044e-01,0.000000e+00,3.841486e-02,0,0
1,10,k,0.000000e+00,7.778325e-02,0.000000e+00,1.706522e-02,0,0
1,10,v,0.000000e+00,1.282662e-01,0.000000e+00,1.248020e-02,0,0
1,10,o,0.000000e+00,7.517314e-02,0.000000e+00,2.139950e-03,0,0
1,11,q,0.000000e+00,1.074743e-01,0.000000e+00,2.483985e-02,0,0
1,11,k,0.000000e+00,6.929292e-02,0.000000e+00,2.035035e-02,0,0
1,11,v,0.000000e+00,1.817443e-01,0.000000e+00,2.024561e-02,0,0
1,11,o,0.000000e+00,8.398350e-02,0.000000e+00,3.107851e-03,0,0
1,12,q,0.000000e+00,8.049570e-02,0.000000e+00,1.852259e-02,0,0
1,12,k,0.000000e+00,1.271714e-01,0.000000e+00,6.427244e-02,0,0
1,12,v,0.000000e+00,1.245923e-01,0.000000e+00,9.392465e-03,0,0
1,12,o,0.000000e+00,9.837470e-02,0.000000e+00,3.384563e-03,0,0
1,13,q,0.000000e+00,7.153420e-02,0.000000e+00,1.135529e-02,0,0
1,13,k,0.000000e+00,5.641774e-02,0.000000e+00,1.872826e-02,0,0
1,13,v,0.000000e+00,8.747062e-02,0.000000e+00,4.800653e-03,0,0
1,13,o,0.000000e+00,6.174750e-02,0.000000e+00,2.152465e-03,0,0
1,14,q,0.000000e+00,5.898175e-02,0.000000e+00,1.151319e-02,0,0
1,14,k,0.000000e+00,4.223542e-02,0.000000e+00,1.440352e-02,0,0
1,14,v,0.000000e+00,5.993805e-02,0.000000e+00,4.410848e-03,0,0
1,14,o,0.000000e+00,7.776720e-02,0.000000e+00,2.747647e-03,0,0
1,15,q,0.000000e+00,5.647614e-02,0.000000e+00,9.374276e-03,0,0
1,15,k,0.000000e+00,4.170534e-02,0.000000e+00,9.761789e-03,0,0
1,15,v,0.000000e+00,6.343425e-02,0.000000e+00,4.519482e-03,0,0
1,15,o,0.000000e+00,6.997772e-02,0.000000e+00,2.661807e-03,0,0
1,16,q,0.000000e+00,3.939705e-02,0.000000e+00,6.418834e-03,0,0
1,16,k,0.000000e+00,3.865211e-02,0.000000e+00,1.031895e-02,0,0
1,16,v,0.000000e+00,9.150758e-02,0.000000e+00,7.286915e-03,0,0
1,16,o,0.000000e+00,6.257629e-02,0.000000e+00,2.280478e-03,0,0
1,17,q,0.000000e+00,5.272080e-02,0.000000e+00,6.115690e-03,0,0
1,17,k,0.000000e+00,4.886201e-02,0.000000e+00,1.136588e-02,0,0
1,17,v,0.000000e+00,8.085231e-02,0.000000e+00,6.760688e-03,0,0
1,17,o,0.000000e+00,4.466161e-02,0.000000e+00,1.702244e-03,0,0
1,18,q,0.000000e+00,3.379391e-02,0.000000e+00,4.593659e-03,0,0
1,18,k,0.000000e+00,2.766509e-02,0.000000e+00,5.681326e-03,0,0
1,18,v,0.000000e+00,5.374991e-02,0.000000e+00,5.752087e-03,0,0
1,18,o,0.000000e+00,7.138301e-02,0.000000e+00,3.242875e-03,0,0
1,19,q,0.000000e+00,7.961040e-02,0.000000e+00,2.791179e-02,0,0
1,19,k,0.000000e+00,4.319837e-02,0.000000e+00,8.478878e-03,0,0
1,19,v,0.000000e+00,6.807506e-02,0.000000e+00,6.269490e-03,0,0
1,19,o,0.000000e+00,6.455791e-02,0.000000e+00,2.496694e-03,0,0
1,20,q,0.000000e+00,5.031733e-02,0.000000e+00,1.110823e-02,0,0
1,20,k,0.000000e+00,3.545849e-02,0.000000e+00,5.024560e-03,0,0
1,20,v,0.000000e+00,6.559885e-02,0.000000e+00,4.967939e-03,0,0
1,20,o,0.000000e+00,5.168117e-02,0.000000e+00,2.151431e-03,0,0
1,21,q,0.000000e+00,5.695212e-02,0.000000e+00,1.002192e-02,0,0
1,21,k,0.000000e+00,3.122814e-02,0.000000e+00,5.982294e-03,0,0
1,21,v,0.000000e+00,8.757027e-02,0.000000e+00,8.333459e-03,0,0
1,21,o,0.000000e+00,1.149620e-01,0.000000e+00,6.549789e-03,0,0
1,22,q,0.000000e+00,3.428789e-02,0.000000e+00,6.634544e-03,0,0
1,22,k,0.000000e+00,3.118222e-02,0.000000e+00,8.198482e-03,0,0
1,22,v,0.000000e+00,7.172881e-02,0.000000e+00,5.097128e-03,0,0
1,22,o,0.000000e+00,6.626764e-02,0.000000e+00,2.968952e-03,0,0
1,23,q,0.000000e+00,4.713043e-02,0.000000e+00,9.133688e-03,0,0
1,23,k,0.000000e+00,3.425806e-02,0.000000e+00,6.561921e-03,0,0
1,23,v,0.000000e+00,7.993075e-02,0.000000e+00,8.474048e-03,0,0
1,23,o,0.000000e+00,4.181648e-02,0.000000e+00,2.084954e-03,0,0
1,24,q,0.000000e+00,3.195920e-02,0.000000e+00,7.956235e-03,0,0
1,24,k,0.000000e+00,2.293992e-02,0.000000e+00,4.527445e-03,0,0
1,24,v,0.000000e+00,6.015729e-02,0.000000e+00,6.619648e-03,0,0
1,24,o,0.000000e+00,5.113226e-02,0.000000e+00,3.931600e-03,0,0
1,25,q,0.000000e+00,2.563552e-02,0.000000e+00,3.963645e-03,0,0
1,25,k,0.000000e+00,1.907844e-02,0.000000e+00,3.869416e-03,0,0
1,25,v,0.000000e+00,7.364178e-02,0.000000e+00,5.852800e-03,0,0
1,25,o,0.000000e+00,3.705940e-02,0.000000e+00,2.455003e-03,0,0
1,26,q,0.000000e+00,4.450588e-02,0.000000e+00,6.302493e-03,0,0
1,26,k,0.000000e+00,3.321933e-02,0.000000e+00,6.230512e-03,0,0
1,26,v,0.000000e+00,9.324217e-02,0.000000e+00,7.868413e-03,0,0
1,26,o,0.000000e+00,5.660968e-02,0.000000e+00,2.776291e-03,0,0
1,27,q,0.000000e+00,4.263929e-02,0.000000e+00,6.225677e-03,0,0
1,27,k,0.000000e+00,4.148013e-02,0.000000e+00,5.279665e-03,0,0
1,27,v,0.000000e+00,9.483358e-02,0.000000e+00,6.593644e-03,0,0
1,27,o,0.000000e+00,7.132158e-02,0.000000e+00,3.948077e-03,0,0
1,28,q,0.000000e+00,4.027648e-02,0.000000e+00,6.571464e-03,0,0
1,28,k,0.000000e+00,3.633421e-02,0.000000e+00,5.998202e-03,0,0
1,28,v,0.000000e+00,9.390251e-02,0.000000e+00,9.275764e-03,0,0
1,28,o,0.000000e+00,5.256184e-02,0.000000e+00,2.864101e-03,0,0
1,29,q,0.000000e+00,4.836124e-02,0.000000e+00,7.562886e-03,0,0
1,29,k,0.000000e+00,2.843895e-02,0.000000e+00,4.176456e-03,0,0
1,29,v,0.000000e+00,1.061868e-01,0.000000e+00,9.463865e-03,0,0
1,29,o,0.000000e+00,3.928221e-02,0.000000e+00,1.586961e-03,0,0
1,30,q,0.000000e+00,4.308243e-02,0.000000e+00,5.753436e-03,0,0
1,30,k,0.000000e+00,3.044657e-02,0.000000e+00,9.649212e-03,0,0
1,30,v,0.000000e+00,1.178916e-01,0.000000e+00,8.889689e-03,0,0
1,30,o,0.000000e+00,5.528349e-02,0.000000e+00,2.825931e-03,0,0
1,31,q,0.000000e+00,3.521089e-02,0.000000e+00,7.816179e-03,0,0
